intent,patterns,bot_response
noise_control,What does the barangay noise ordinance require from residents?,Barangay noise ordinance requires lowering volume at night.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Barangay noise ordinance requires lowering volume at night.
noise_control,How should residents manage noise under the barangay ordinance?,Barangay noise ordinance requires lowering volume at night.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Residents are encouraged to report drug-related activities.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Residents are encouraged to report drug-related activities.
drugs,What are the barangay's efforts to prevent illegal drug use?,Residents are encouraged to report drug-related activities.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Residents are encouraged to report drug-related activities.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Residents are encouraged to report drug-related activities.
drugs,What are the barangay's efforts to prevent illegal drug use?,Residents are encouraged to report drug-related activities.
violence,What is the barangay's policy on domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,How does the barangay handle cases of domestic abuse?,Barangay strictly prohibits domestic violence and physical assault.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,Improper waste disposal may lead to fines.
waste_management,Are there fines for improper waste disposal in the barangay?,Improper waste disposal may lead to fines.
waste_management,How is garbage managed in Barangay Buhangin?,Improper waste disposal may lead to fines.
curfew,Q6: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
barangay_clearance,Q7: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
waste_management,What are the rules on garbage collection in Barangay Buhangin?,Residents must segregate biodegradable and non-biodegradable waste.
waste_management,Are there fines for improper waste disposal in the barangay?,Residents must segregate biodegradable and non-biodegradable waste.
waste_management,How is garbage managed in Barangay Buhangin?,Residents must segregate biodegradable and non-biodegradable waste.
violence,What is the barangay's policy on domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay strictly prohibits domestic violence and physical assault.
violence,How does the barangay handle cases of domestic abuse?,Barangay strictly prohibits domestic violence and physical assault.
alcohol_regulation,Q10: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
curfew,Q11: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
noise_control,What does the barangay noise ordinance require from residents?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,Are there rules about noise levels in Barangay Buhangin?,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,How should residents manage noise under the barangay ordinance?,Loud noise is prohibited after 9:00 PM in residential areas.
drugs,How does Barangay Buhangin support the fight against illegal drugs?,Residents are encouraged to report drug-related activities.
drugs,What should I do if I witness illegal drug activity in Barangay Buhangin?,Residents are encouraged to report drug-related activities.
drugs,What are the barangay's efforts to prevent illegal drug use?,Residents are encouraged to report drug-related activities.
violence,What is the barangay's policy on domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,Does Barangay Buhangin prohibit domestic violence?,Barangay encourages peaceful resolution of disputes.
violence,How does the barangay handle cases of domestic abuse?,Barangay encourages peaceful resolution of disputes.
