intent,patterns,bot_response
noise_control,Q1: Barangay noise ordinance requires lowering volume at night.,Barangay noise ordinance requires lowering volume at night.
drugs,Q2: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
drugs,Q3: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
violence,Q4: Barangay strictly prohibits domestic violence and physical assault.,Barangay strictly prohibits domestic violence and physical assault.
waste_management,"Q5: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
curfew,Q6: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
barangay_clearance,Q7: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
waste_management,Q8: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
violence,Q9: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
alcohol_regulation,Q10: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
curfew,Q11: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
noise_control,Q12: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
drugs,Q13: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
violence,Q14: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
curfew,Q15: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
noise_control,Q16: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
violence,Q17: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
barangay_clearance,Q18: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
drugs,Q19: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
curfew,Q20: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
waste_management,Q21: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
waste_management,"Q22: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Residents must segregate biodegradable and non-biodegradable waste.
drugs,Q23: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
loitering,Q24: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
community_service,Q25: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
community_service,Q26: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
alcohol_regulation,Q27: Residents must follow restrictions on alcohol to avoid penalties.,Alcohol selling is prohibited after 10:00 PM.
curfew,Q28: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
alcohol_regulation,Q29: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
curfew,Q30: The barangay enforces curfew to ensure peace and order at night.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
barangay_clearance,Q31: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q32: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
noise_control,Q33: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
curfew,Q34: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
drugs,Q35: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,Q36: Residents are encouraged to report drug-related activities.,Residents are encouraged to report drug-related activities.
community_service,Q37: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
drugs,Q38: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
drugs,Q39: Illegal drug possession and use are punishable by law.,Illegal drug possession and use are punishable by law.
barangay_clearance,Q40: Barangay clearance can be requested at the Barangay Hall during office hours.,Clearance is needed for job applications and legal documents.
violence,Q41: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
loitering,Q42: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
alcohol_regulation,Q43: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
noise_control,Q44: Unnecessary loud sound at night may lead to barangay sanctions.,Unnecessary loud sound at night may lead to barangay sanctions.
alcohol_regulation,Q45: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
permits,Q46: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
curfew,Q47: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
barangay_clearance,Q48: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
permits,Q49: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
violence,Q50: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
permits,Q51: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
waste_management,Q52: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
curfew,Q53: The barangay enforces curfew to ensure peace and order at night.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
violence,Q54: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
alcohol_regulation,Q55: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
loitering,Q56: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
barangay_clearance,Q57: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
alcohol_regulation,Q58: Residents must follow restrictions on alcohol to avoid penalties.,Residents must follow restrictions on alcohol to avoid penalties.
alcohol_regulation,Q59: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
drugs,Q60: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q61: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
curfew,Q62: The barangay enforces curfew to ensure peace and order at night.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
permits,Q63: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
permits,Q64: Business permits are processed through the barangay before city hall.,Applicants must secure barangay approval before construction projects.
barangay_clearance,Q65: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
community_service,Q66: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
noise_control,Q67: Unnecessary loud sound at night may lead to barangay sanctions.,Barangay noise ordinance requires lowering volume at night.
community_service,Q68: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
loitering,Q69: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
loitering,Q70: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
community_service,Q71: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
waste_management,Q72: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
loitering,Q73: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
noise_control,Q74: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
barangay_clearance,Q75: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q76: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
loitering,Q77: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
noise_control,Q78: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
barangay_clearance,Q79: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
drugs,Q80: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
violence,Q81: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
community_service,Q82: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
noise_control,Q83: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
violence,Q84: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
permits,Q85: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
violence,Q86: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
violence,Q87: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
alcohol_regulation,Q88: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
violence,Q89: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
permits,Q90: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
barangay_clearance,Q91: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
alcohol_regulation,Q92: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
noise_control,Q93: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
alcohol_regulation,Q94: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
alcohol_regulation,Q95: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
permits,Q96: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
drugs,Q97: Barangay Buhangin supports anti-illegal drugs campaigns.,Illegal drug possession and use are punishable by law.
drugs,Q98: Illegal drug possession and use are punishable by law.,Illegal drug possession and use are punishable by law.
permits,Q99: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
drugs,Q100: Illegal drug possession and use are punishable by law.,Illegal drug possession and use are punishable by law.
drugs,Q101: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q102: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
noise_control,Q103: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
alcohol_regulation,Q104: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
curfew,Q105: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
loitering,Q106: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q107: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
alcohol_regulation,Q108: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
waste_management,Q109: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
community_service,Q110: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
noise_control,Q111: Unnecessary loud sound at night may lead to barangay sanctions.,Unnecessary loud sound at night may lead to barangay sanctions.
curfew,Q112: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
community_service,Q113: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
permits,Q114: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
violence,Q115: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
curfew,Q116: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
barangay_clearance,Q117: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q118: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
community_service,Q119: Barangay promotes community volunteerism.,Community service may be given as penalty for minor offenses.
violence,Q120: Violent behavior will be reported to barangay officials and police.,Barangay strictly prohibits domestic violence and physical assault.
permits,Q121: Business permits are processed through the barangay before city hall.,Applicants must secure barangay approval before construction projects.
curfew,Q122: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
community_service,Q123: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
violence,Q124: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
permits,Q125: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
noise_control,Q126: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
curfew,Q127: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
curfew,Q128: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
violence,Q129: Barangay strictly prohibits domestic violence and physical assault.,Violent behavior will be reported to barangay officials and police.
drugs,Q130: Illegal drug possession and use are punishable by law.,Illegal drug possession and use are punishable by law.
alcohol_regulation,Q131: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
noise_control,Q132: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
community_service,Q133: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
alcohol_regulation,Q134: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
community_service,Q135: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
loitering,Q136: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
curfew,Q137: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
alcohol_regulation,Q138: Liquor ban applies during fiestas and election periods.,Alcohol selling is prohibited after 10:00 PM.
permits,Q139: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
violence,Q140: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
alcohol_regulation,Q141: Residents must follow restrictions on alcohol to avoid penalties.,Residents must follow restrictions on alcohol to avoid penalties.
drugs,Q142: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q143: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
permits,Q144: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
drugs,Q145: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
barangay_clearance,Q146: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
community_service,Q147: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
permits,Q148: Business permits are processed through the barangay before city hall.,Applicants must secure barangay approval before construction projects.
violence,Q149: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
community_service,Q150: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
loitering,Q151: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q152: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
waste_management,Q153: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
waste_management,"Q154: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
noise_control,Q155: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
drugs,Q156: Residents are encouraged to report drug-related activities.,Illegal drug possession and use are punishable by law.
violence,Q157: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
loitering,Q158: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
barangay_clearance,Q159: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
barangay_clearance,Q160: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
drugs,Q161: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,Q162: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
drugs,Q163: Residents are encouraged to report drug-related activities.,Illegal drug possession and use are punishable by law.
curfew,Q164: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
barangay_clearance,Q165: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
curfew,Q166: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
drugs,Q167: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q168: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
permits,Q169: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
violence,Q170: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
loitering,Q171: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
violence,Q172: Barangay encourages peaceful resolution of disputes.,Barangay strictly prohibits domestic violence and physical assault.
loitering,Q173: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
curfew,Q174: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
loitering,Q175: Loitering rules are enforced for minors and late-night gatherings.,Loitering rules are enforced for minors and late-night gatherings.
drugs,Q176: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
curfew,Q177: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
drugs,Q178: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,Q179: Illegal drug possession and use are punishable by law.,Illegal drug possession and use are punishable by law.
barangay_clearance,Q180: Clearance is needed for job applications and legal documents.,Requirements for clearance include valid ID and barangay residency.
noise_control,Q181: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
drugs,Q182: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
barangay_clearance,Q183: Barangay clearance can be requested at the Barangay Hall during office hours.,Clearance is needed for job applications and legal documents.
alcohol_regulation,Q184: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
noise_control,Q185: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
curfew,Q186: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
waste_management,Q187: Improper waste disposal may lead to fines.,Residents must segregate biodegradable and non-biodegradable waste.
alcohol_regulation,Q188: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
alcohol_regulation,Q189: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
barangay_clearance,Q190: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
loitering,Q191: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
waste_management,Q192: Improper waste disposal may lead to fines.,Residents must segregate biodegradable and non-biodegradable waste.
alcohol_regulation,Q193: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
loitering,Q194: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
community_service,Q195: Barangay promotes community volunteerism.,Offenders may be required to join clean-up drives.
loitering,Q196: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
loitering,Q197: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
community_service,Q198: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
noise_control,Q199: Unnecessary loud sound at night may lead to barangay sanctions.,Barangay noise ordinance requires lowering volume at night.
loitering,Q200: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
waste_management,"Q201: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.","Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
noise_control,Q202: Loud noise is prohibited after 9:00 PM in residential areas.,Loud noise is prohibited after 9:00 PM in residential areas.
community_service,Q203: Community service may be given as penalty for minor offenses.,Community service may be given as penalty for minor offenses.
community_service,Q204: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
drugs,Q205: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
noise_control,Q206: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
permits,Q207: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
noise_control,Q208: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,Q209: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
violence,Q210: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
drugs,Q211: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
loitering,Q212: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
alcohol_regulation,Q213: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
